request_id,target_source_id,request_status,records_received,yield_status,unresolved_gap,evidence_tier,confidence,notes
FOIA_c509296376f145b1,hud_drgr_authorized,submitted,0,pending,Credentialed DRGR portal — operator must export and drop manifests in manual_drop_dir.,T2,0.8,
FOIA_3429122f5837fd47,prasa,submitted,0,pending,"PRASA aqueduct/sewer authority. ingest_prasa.py is a dropzone reader (CSV/Excel), not a live scraper - operator delivers exported procurement files to data/raw/PRASA/. Includes Consulting Engineer Report FY2024 baseline. The vendor-level master is now produced by the prasa_contracts_master source (scripts/build_prasa_contracts_master.py).",T2,0.8,
FOIA_aef916ac9b8ed071,oficina_contralor,superseded,0,gap_closed,pipeline_status=fully_materialized; request superseded by frozen source evidence,T2,0.8,
FOIA_f7d5acaf207ff8a5,cor3,superseded,0,gap_closed,pipeline_status=fully_materialized; request superseded by frozen source evidence,T2,0.8,
FOIA_7ef254a89545013c,pr_cabilderos,superseded,0,gap_closed,pipeline_status=fully_materialized; request superseded by frozen source evidence,T2,0.8,
FOIA_220df26653119d96,donaciones_pr,superseded,0,gap_closed,pipeline_status=fully_materialized; request superseded by frozen source evidence,T2,0.8,
FOIA_7fef81739082ae00,compras_pr,submitted,0,pending,comprashpr.com RFP / award scrape.,T2,0.8,
FOIA_6a101e8132668932,act_toll_revenue,submitted,0,pending,Aggregate toll revenue (ACT / AutoExpreso / Metropistas PR-22/PR-5) from ACT audited financials and EMMA toll-revenue-bond disclosures. Dropzone reader; pursue finer (per-plaza) breakdowns via FOIA.,T2,0.8,
FOIA_28acfdfc52c7d4c7,transit_fare_revenue,submitted,0,pending,Aggregate transit farebox revenue (AMA buses + Tren Urbano / ATI) from audited financials and budgets.,T2,0.8,
FOIA_76abdbeacc216b2d,ports_airports_revenue,submitted,0,pending,Aggregate port/airport fee revenue (PR Ports Authority + Aerostar/SJU) from audited financials and EMMA disclosures.,T2,0.8,
FOIA_c119512bb6f6c274,prasa_rate_revenue,submitted,0,pending,"Aggregate PRASA water/sewer rate revenue from audited financials, rate-case filings, and EMMA disclosures. Shares scripts/ingest_utility_revenue.py with prepa_luma_rate_revenue.",T2,0.8,
FOIA_7920259648af5a1f,prepa_luma_rate_revenue,submitted,0,pending,Aggregate PREPA/LUMA power rate revenue from audited financials and EMMA legacy revenue-bond disclosures. Shares scripts/ingest_utility_revenue.py with prasa_rate_revenue.,T2,0.8,
FOIA_ae9cdf30acf8ff9a,dtop_road_contracts,submitted,0,pending,"DTOP/ACT permanent road construction & maintenance contracts (rolling, beyond the 2020 transition snapshot). OCPR registry agency code 032.",T2,0.8,
FOIA_418c782a189df400,ports_airports_contracts,submitted,0,pending,PR Ports Authority / Aerostar contracts and capital projects. Also fed by scripts/parse_aaa_ports_pdf.py from the acquired completed_projects_AAA.pdf.,T2,0.8,
FOIA_f602370eb7484340,transit_contracts,submitted,0,pending,AMA / Tren Urbano (ATI) operating and O&M contracts.,T2,0.8,
