generated_at,expected_input,source_family,blocker_class,missing_reason,pause_status,retry_status,target_dropzone_path,target_output_path,unfreeze_condition
2026-05-09T04:18:35Z,data/staging/processed/pr_contracts_master.csv,usaspending_federal_awards_backbone,manual_file_required,source_file_not_found,PAUSED_EXTERNAL_DELIVERY_REQUIRED,SUPPRESSED,data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/pr_contracts_master.csv,data/staging/processed/pr_contracts_master.csv,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/pr_contracts_master.csv, validate schema/rows, and stage to data/staging/processed/pr_contracts_master.csv."
2026-05-09T04:18:35Z,data/staging/processed/pr_doe_master.csv,federal_sectoral_doe,physical_validated_file_missing,source_file_not_found,PAUSED_EXTERNAL_DELIVERY_REQUIRED,SUPPRESSED,,data/staging/processed/pr_doe_master.csv,Deliver the physical validated source file for data/staging/processed/pr_doe_master.csv with matching manifest-compatible hash and nonzero rows.
2026-05-09T04:18:35Z,data/staging/processed/pr_grants_master.csv,usaspending_federal_awards_backbone,manual_file_required,source_file_not_found,PAUSED_EXTERNAL_DELIVERY_REQUIRED,SUPPRESSED,data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/pr_grants_master.csv,data/staging/processed/pr_grants_master.csv,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/pr_grants_master.csv, validate schema/rows, and stage to data/staging/processed/pr_grants_master.csv."
2026-05-09T04:18:35Z,data/staging/processed/pr_dot_master.csv,federal_sectoral_dot,physical_validated_file_missing,source_file_not_found,PAUSED_EXTERNAL_DELIVERY_REQUIRED,SUPPRESSED,,data/staging/processed/pr_dot_master.csv,Deliver the physical validated source file for data/staging/processed/pr_dot_master.csv with matching manifest-compatible hash and nonzero rows.
2026-05-09T04:18:35Z,data/staging/processed/pr_subawards_master.csv,fsrs_subawards,manual_file_required,source_file_not_found,PAUSED_EXTERNAL_DELIVERY_REQUIRED,SUPPRESSED,data/manual_import_dropzone/r4_8e/fsrs_subawards/pr_subawards_master.csv,data/staging/processed/pr_subawards_master.csv,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/fsrs_subawards/pr_subawards_master.csv, validate schema/rows, and stage to data/staging/processed/pr_subawards_master.csv."
2026-05-09T04:18:35Z,data/staging/processed/pr_epa_master.csv,federal_sectoral_epa,physical_validated_file_missing,source_file_not_found,PAUSED_EXTERNAL_DELIVERY_REQUIRED,SUPPRESSED,,data/staging/processed/pr_epa_master.csv,Deliver the physical validated source file for data/staging/processed/pr_epa_master.csv with matching manifest-compatible hash and nonzero rows.
2026-05-09T04:18:35Z,data/staging/processed/pr_fema_pa_master.csv,fema_pa_hmgp,manual_file_required,source_file_not_found,PAUSED_EXTERNAL_DELIVERY_REQUIRED,SUPPRESSED,data/manual_import_dropzone/r4_8e/fema_pa_hmgp/pr_fema_pa_master.csv,data/staging/processed/pr_fema_pa_master.csv,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/fema_pa_hmgp/pr_fema_pa_master.csv, validate schema/rows, and stage to data/staging/processed/pr_fema_pa_master.csv."
2026-05-09T04:18:35Z,data/staging/processed/pr_hud_master.csv,hud_cdbg,physical_validated_file_missing,source_file_not_found,PAUSED_EXTERNAL_DELIVERY_REQUIRED,SUPPRESSED,,data/staging/processed/pr_hud_master.csv,Deliver the physical validated source file for data/staging/processed/pr_hud_master.csv with matching manifest-compatible hash and nonzero rows.
2026-05-09T04:18:35Z,data/staging/processed/pr_fema_hmgp_master.csv,fema_pa_hmgp,manual_file_required,source_file_not_found,PAUSED_EXTERNAL_DELIVERY_REQUIRED,SUPPRESSED,data/manual_import_dropzone/r4_8e/fema_pa_hmgp/pr_fema_hmgp_master.csv,data/staging/processed/pr_fema_hmgp_master.csv,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/fema_pa_hmgp/pr_fema_hmgp_master.csv, validate schema/rows, and stage to data/staging/processed/pr_fema_hmgp_master.csv."
2026-05-09T04:18:35Z,data/staging/processed/pr_slfrf_master.csv,slfrf,physical_validated_file_missing,source_file_not_found,PAUSED_EXTERNAL_DELIVERY_REQUIRED,SUPPRESSED,,data/staging/processed/pr_slfrf_master.csv,Deliver the physical validated source file for data/staging/processed/pr_slfrf_master.csv with matching manifest-compatible hash and nonzero rows.
