generated_at,check_group,check_name,passed,expected,actual,details
2026-05-09T05:59:23Z,phase_representation,r4_7,True,present_in_rebuild_status,present,r4_7_gate_passed=True
2026-05-09T05:59:23Z,phase_representation,r4_8,True,present_in_rebuild_status,present,r4_8_gate_passed=True
2026-05-09T05:59:23Z,phase_representation,r4_8a,True,present_in_rebuild_status,present,r4_8a_gate_passed=True
2026-05-09T05:59:23Z,phase_representation,r4_8b,True,present_in_rebuild_status,present,r4_8b_gate_passed=True
2026-05-09T05:59:23Z,phase_representation,r4_8c,True,present_in_rebuild_status,present,r4_8c_gate_passed=True
2026-05-09T05:59:23Z,phase_representation,r4_8d,True,present_in_rebuild_status,present,r4_8d_gate_passed=True
2026-05-09T05:59:23Z,phase_representation,r4_8e,True,present_in_rebuild_status,present,r4_8e_gate_passed=True
2026-05-09T05:59:23Z,phase_representation,r4_8f,True,present_in_rebuild_status,present,r4_8f_gate_passed=True
2026-05-09T05:59:23Z,phase_representation,r4_8g,True,present_in_rebuild_status,present,r4_8g_gate_passed=True
2026-05-09T05:59:23Z,phase_representation,r4_8h,True,present_in_rebuild_status,present,r4_8h_gate_passed=True
2026-05-09T05:59:23Z,phase_representation,r4_8i,True,present_in_rebuild_status,present,r4_8i_gate_passed=True
2026-05-09T05:59:23Z,phase_representation,r4_9a,True,present_in_rebuild_status,present,r4_9a_gate_passed=True
2026-05-09T05:59:23Z,phase_representation,r4_9b,True,present_in_rebuild_status,present,r4_9b_gate_passed=True
2026-05-09T05:59:23Z,phase_representation,r4_9c,True,present_in_rebuild_status,present,r4_9c_gate_passed=True
2026-05-09T05:59:23Z,phase_representation,r4_9d,True,present_in_rebuild_status,present,r4_9d_gate_passed=True
2026-05-09T05:59:23Z,phase_representation,r4_9e,True,present_in_rebuild_status,present,r4_9e_gate_passed=True
2026-05-09T05:59:23Z,phase_representation,r4_9f,True,present_in_rebuild_status,present,r4_9f_gate_passed=True
2026-05-09T05:59:23Z,phase_representation,r4_9z,True,present_in_rebuild_status,present,r4_9z_gate_passed=True
2026-05-09T05:59:23Z,invariant,production_status_lock,True,NON_PRODUCTION_DIAGNOSTIC,NON_PRODUCTION_DIAGNOSTIC,
2026-05-09T05:59:23Z,invariant,phase_7_8_block_lock,True,True,True,
2026-05-09T05:59:23Z,invariant,retry_suppression_active,True,True,True,
2026-05-09T05:59:23Z,invariant,downstream_blockers_active,True,True,True,
2026-05-09T05:59:23Z,invariant,unfreeze_candidates_zero,True,0,0,
2026-05-09T05:59:23Z,invariant,sources_still_missing_21,True,21,21,
2026-05-09T05:59:23Z,invariant,resume_conditions_written,True,True,True,
2026-05-09T05:59:23Z,invariant,pause_lock_active,True,True,True,
2026-05-09T05:59:23Z,invariant,forbidden_artifact_usage,True,False,False,
2026-05-09T05:59:23Z,invariant,secret_scan,True,0 findings,0 findings,
2026-05-09T05:59:23Z,invariant,downloads_executed,True,False,False,
2026-05-09T05:59:23Z,invariant,rows_ingested,True,0,0,
2026-05-09T05:59:23Z,invariant,production_inputs_staged,True,0,0,
